sequence_id,sample_token,endpoint_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,rgb_member_sha256,selected_mask_index,predicted_iou,outputs_finite,read_seconds,preprocessing_seconds,inference_seconds,mask_fraction,mask_area_pixels,bbox_area_pixels,bbox_mask_iou,bbox_coverage,mask_inside_bbox_fraction,mask_height_fraction,mask_width_fraction,bbox_height_fraction,bbox_width_fraction,touches_image_border
2cyv0Oedzg,2cyv0Oedzg_000001_19317100000,0,0.0,387.0,264.0,704.0,9c86dfcd52275ba9a0e08caa092370807c8f0dfcdcfb23c005e73443731d769d,2,1.0,True,0.09948630000144476,0.015550699998129858,0.3656909999990603,0.065869140625,60705.0,83688.0,0.7253728133065672,0.7253728133065672,1.0,0.3819444444444444,0.1953125,0.44027777777777777,0.20625,True
2cyv0Oedzg,2cyv0Oedzg_000001_19317100000,1,0.0,392.0,256.0,712.0,390f0d2f75a548565785bac1b2010b2bb04b013d821ba9abb906e869263753ce,2,1.0,True,0.05827259999932721,0.015483099999983096,0.12563490000320598,0.066298828125,61101.0,81920.0,0.74586181640625,0.74586181640625,1.0,0.38472222222222224,0.19375,0.4444444444444444,0.2,True
2cyv0Oedzg,2cyv0Oedzg_000490_19461500000,0,833.0,464.0,1039.0,607.0,5c4f41296ad853cd0ed8e337a701a9ba22f07482c8375314f2b3dafc732dd3d1,0,0.9921875,True,0.09498589999930118,0.022154500002216082,0.12980670000251848,0.018177083333333333,16752.0,29458.0,0.5686740444021997,0.5686740444021997,1.0,0.17083333333333334,0.1359375,0.1986111111111111,0.1609375,False
2cyv0Oedzg,2cyv0Oedzg_000490_19461500000,1,843.0,474.0,1065.0,615.0,896dc2cb63fa6987c8648976504355e355b668eaf17d503fa41cfd9d17fd55b5,0,0.984375,True,0.06560030000036932,0.011398500002542278,0.1268926000011561,0.01906032986111111,17566.0,31302.0,0.5611781994760718,0.5611781994760718,1.0,0.1736111111111111,0.14140625,0.19583333333333333,0.1734375,False
2cyv0Oedzg,2cyv0Oedzg_001219_19468500000,0,146.0,498.0,248.0,581.0,a820b64168b3cd523c6fc3d54680a096e3e606687a2c414988c363d045a8b3be,1,0.90625,True,0.08459689999654074,0.013012800001888536,0.12593189999824972,0.0026019965277777777,2398.0,8466.0,0.28325064965745334,0.28325064965745334,1.0,0.06527777777777778,0.0578125,0.11527777777777778,0.0796875,False
2cyv0Oedzg,2cyv0Oedzg_001219_19468500000,1,129.0,490.0,244.0,581.0,54fa9407033aea0f3748df2bab2ae73742f3e1152166b5ff52ebd4ba915e19ca,1,0.890625,True,0.06727629999659257,0.011834900000394555,0.12526570000045467,0.0032530381944444442,2998.0,10465.0,0.2864787386526517,0.2864787386526517,1.0,0.07361111111111111,0.05703125,0.12638888888888888,0.08984375,False
2cyv0Oedzg,2cyv0Oedzg_002968_19610800000,0,105.0,472.0,238.0,577.0,493ad59b711a4f5486dcfc3b33daf17a039d5c35d78a13218cfb9f75745166c2,1,0.94140625,True,0.04590770000140765,0.012348399999609683,0.13085080000018934,0.005929904513888889,5465.0,13965.0,0.3913354815610455,0.3913354815610455,1.0,0.10694444444444444,0.08359375,0.14583333333333334,0.10390625,False
2cyv0Oedzg,2cyv0Oedzg_002968_19610800000,1,80.0,462.0,222.0,577.0,43d98e33ea9ee2f0a5ea6dff77ddb32415108c620cf7bb4a0d237992a7b17f60,2,0.9296875,True,0.04840229999899748,0.011984100001427578,0.12496660000033444,0.008228081597222223,7583.0,16330.0,0.45456204379562043,0.457624004898959,0.9854938678623236,0.11388888888888889,0.1046875,0.1597222222222222,0.1109375,False
5ilM1PX2vz,5ilM1PX2vz_000000_9744500000,0,0.0,498.0,282.0,701.0,7ec5bdc7ea102078f3b4a71b00dec8cd9672484bfdcf731c394859a8e20acca1,2,0.99609375,True,0.058688599998276914,0.010748000000603497,0.12383029999909922,0.03556206597222222,32774.0,57246.0,0.5621691973969631,0.5658910666247423,0.9884359553304448,0.22916666666666666,0.209375,0.28194444444444444,0.2203125,False
5ilM1PX2vz,5ilM1PX2vz_000000_9744500000,1,0.0,499.0,285.0,697.0,c3c9784c12c1abbe9e1b17d8faf189a98ef7c7e872de57889b0bc6f0d316804a,2,0.98828125,True,0.06012389999887091,0.012328900000284193,0.12480739999955404,0.031151258680555554,28709.0,56430.0,0.49990310589644665,0.5028530923267766,0.9884008499076945,0.2111111111111111,0.2,0.275,0.22265625,False
